source,target,value,count
11YYjhjmjwn3csohNDLHa9Kr38nY8kd736a7TkPVagXoRus,13mPEacdrf8yq5qEQyxbFpHX1CWJiDYBDbBGjja3Zm6RYiHj,9028971.35198088,1
15H2G13XawYeBH8S2CnBStoYtPC3uApkcnBLEBorEPbywZoC,12LdngMrL3xmSSj6bCpAqprZBWWkHBfYdv47RxWMPZtWzuwK,9027054.178704396,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,1vTfju3zruADh7sbBznxWCpircNp9ErzJaPQZKyrUknApRu,9000000.0,1
13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,12di7xAeCyVXZQTywPRsPQTDBhKeJsGNzgyaJwooYk5YQvZJ,8844001.23,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,12eM9u6jaf81W83AGvihWKBCs7pKbbHXhvWx9p9muQa3BsPS,8815965.0,1
AGG_Reaped_Accounts,13u3YdNWrxRHAePsfKYY53Xdhbwb46dJQXMe9DqJuBvap6BW,8666764.566411706,2498
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,14Xs22PogFVE4nfPmsRFhmnqX3RqdrUANZRaVJU7Hik8DArR,8593600.0,1
12eM9u6jaf81W83AGvihWKBCs7pKbbHXhvWx9p9muQa3BsPS,AGG_Reaped_Accounts,8488582.798815573,601
12eM9u6jaf81W83AGvihWKBCs7pKbbHXhvWx9p9muQa3BsPS,14MwMnvX6LkSQke7vszkZEu3YhUamfPJaTFGmZ4vSSRo1oDi,8466863.2969,1
12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW,1YrgDeWz4zkBLWtwzkXwBBrADugpdMmP7sWTs5nPZVHZMm7,8386852.722939357,1
14MwMnvX6LkSQke7vszkZEu3YhUamfPJaTFGmZ4vSSRo1oDi,13a6JAbZpMQYsMEfgJnLM36twAMHPLfbjY5YMmXNRS5WugM5,8334562.8,1
11tRHu5t8wPr4htgNbMf56R8CSkDj1ycAHEzKgtxvLfYdmR,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,8328995.450499506,1
15kUt2i86LHRWCkE3D9Bg1HZAoc2smhn1fwPzDERTb1BXAkX,14dNJ93NVq22sm2qDepzVjnGQjQKHWR4iimu5rVrZmf9UeGq,8302214.419999992,1
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,15QPhmzivf7aQ2zPgwFxkMsnVH4hEbCL4b4y21mXspiqYucj,8251878.016201447,1
12eM9u6jaf81W83AGvihWKBCs7pKbbHXhvWx9p9muQa3BsPS,13fkvT1NZnWVu762tMCP5Se8wXZPzuawJgW2qJYFTidB7rbq,8245740.982731805,1
155mMVAyA3fx7mXRCMWyrXgkqDnYBdmqzXPf3oL55Gd97Nkf,14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,8135010.0,1
14Vaks6esicg9ULNa1VceQuRWCWLMKVuvYrLoUnucFXpQL63,13fzZiwF2KkjiwjxJRqNvC7tCZVovZ1296xwVMeLxQXp2Jh,8100000.0,1
133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,14Vaks6esicg9ULNa1VceQuRWCWLMKVuvYrLoUnucFXpQL63,8054435.950849357,1
13UVJyLnbVp9RBZYFwFGyDvVd1y27Tt8tkntv6Q7JVPhFsTB,AGG_Small_Holders_<100,8046520.2003449155,270
12RYJb5gG4hfoWPK3owEYtmWoko8G6zwYpvDYTyXFVSfJr8Y,12TpxxQ9QkXHHnE5DdGRkwhgPAk8ewqEdt479eVHTDUFw1mT,8000000.0,1
166JJ1tU9JsjsjvKQ6shhvv54L46BDJq2G6HXmauzwu4AvJh,14etN8LW2YB2WA7yBYDecyLFPpxMSaeV1nhxYbJi8uMJcfkD,8000000.0,1
12x2JzNyvQsRkKF6dG8FS5rtXMYatGT74ro6kW6AVdXdL8u9,13Xo4xYdMRQQoWD7TA9yCDHG1BXqQFvnjeGvU6LHhRhUsBhQ,8000000.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,12pMRYu1yWmdKDQLo9mWcjJYRPwfcnWBWLYh8tKpuJsCi2yF,8000000.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,1tZzPmcq8Auisttygmg9g6tPMtrh9i3b22D3tKXvde7ibRB,8000000.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,11Q7ismkHUbbUexpQc4DgTvedfsh8jKMDV7jZZoQwv57NLS,8000000.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,14UpRGUeAfsSZHFN63t4ojJrLNupPApUiLgovXtm7ZiAHUDA,8000000.0,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,14AoK8VSrHFxZijXhZGSUipHzZbUgo2AkmEaviD9yxTb1ScX,8000000.0,1
148GQ8eNsVaoYQfRBXARcyd2bF62YqJK5Ub4iTYfLCVRFgit,1JVrK16XZm9vyZjHoYVPjtZ35LvTQ4oyufMoUFTFpAUhath,7956960.705827679,1
11qwFoxRkCa7WAjAY86Kx8WHJTT2x72ToQuFr3zHxtrUnuY,133SDz9BYXmVzbo7DXtXzhbUDsHLf2pY76U29m93Htm2mE8x,7771932.485898509,1
1exaAg2VJRQbyUBAeXcktChCAqjVP9TUxF3zo23R2T6EGdE,133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,7706548.806054695,1
13Tak3LDzYqR1pMjpnnKFGwqwxrvjdakNwnnCDjgP2UModFP,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,7638864.937579286,1
163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx,12C966ThimEBoc2cSKiAw9izLoDoheim2CbZAAhmiyptTt86,7583779.88,1
14Qhte1BxSFLCm7KyGivNtRNCoBbqmWv6g22weqHqr7zxH9Y,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,7560852.392704208,1
11qwFoxRkCa7WAjAY86Kx8WHJTT2x72ToQuFr3zHxtrUnuY,15Qt9buAVjVUnHw6dAY5wn4ha8ex6Y6z9TzXirFR7cwt59Ci,7484351.088096578,1
AGG_Small_Holders_<100,12dEdeJGuUxUCVMNFaBfiGRAzcXVp1UiqPiN228qabmvMh3a,7176566.89400453,2
13KJ3t8w1CKMkXCmZ6s3VwdWo4h747kXE88ZNh6rCBTvojmM,13E7LXW3NGYAJGKugiEitKZ4XjR4MXBs4ZhE1bkwBAaAoBCn,7153700.0,1
12bpMn7LYLC2uyyY6SWq3D3ALShHDTB9VxJCkLBiMqHgrWva,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,7105871.7897353675,1
16exbdjFr5x9CfPXHztZA3HUzQGNiFggfZFLM1k33QZW8gK7,16DGiP6jDwAfkAeqGfkUCtheKgUzTy7UeaiFFBAv8BwX3RhN,7100000.0,1
12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1,7042619.667409531,1
12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR,7002664.545772954,1
13akDVCVrrZcc7beK7ArvE1D4tLrR3gwTS7wLPfg7RnE9rrH,15va2oWSpgvnF76H85dCGy8tSc8Ag6YddZ3fWHod9czq1Evw,6855059.883977703,1
143aBiRjuC5jmXuXyRvvvLscTMVA8hy4azrz2c5cTUynYRB5,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,6835730.114745369,1
15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,15SBQ3sdJZ7jEbpMABwr6hF7ZPjZuaPBAuN29tpPdCovjTDE,6827025.91994174,1
133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,13Z7KjGnzdAdMre9cqRwTZHR6F2p36gqBsaNmQwwosiPz8JT,6784074.1142729465,1
14Pu1XbrGuh4347sHFP2ifkraUDBZHQCUQPuZh9va7BemLVr,14MwMnvX6LkSQke7vszkZEu3YhUamfPJaTFGmZ4vSSRo1oDi,6691826.20811841,1
13xWXi6PWfgAtdUr1AYRMMEeYbgXn8dDNSZACKfyWsRguEGZ,AGG_Small_Holders_<100,6657373.7,6
163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx,12eM9u6jaf81W83AGvihWKBCs7pKbbHXhvWx9p9muQa3BsPS,6649405.42,1
13FzGLWoueKvUqFePiJgvFYWhH5KckHGtVBXvAX7SBtVZbXu,13jbftYDuj5zZw2vocDv57MqxvTA1yommSSbxZAxkX4t2MCq,6647624.904008,1
12eVDYYpuMuAmvx9sCteLV72uJWso6rnG2QWsefRaNxdix9h,1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8GT7,6628388.234636337,1
133SDz9BYXmVzbo7DXtXzhbUDsHLf2pY76U29m93Htm2mE8x,133ypDi88FgxtfMZQpnJCd2TUSfjJpg1ruVWPkVLmMZu6VTY,6606664.238251993,1
14MwMnvX6LkSQke7vszkZEu3YhUamfPJaTFGmZ4vSSRo1oDi,15yJvvMP8LRsEyAWyCXKMYUKQkVeM3218Nue2zhNjCGtqoba,6603180.273368649,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,6551303.0,1
1gn68eNGNGqV3QjVcRRDVfw22xFn1eFyUizHCENVn256LXh,16UvKYsqojoivDsNXH3d5G48oXMfo1asxA4NtF2GxhoBjZHz,6503149.58,1
14S5NR4vqhK1rsX2XNXit716zkq2s8gtk9AKMFU9Y4AL9Pw4,14w8sJutEDfbsPoNvt1ZjsXE1nz8bhbY527aPyw3EEnNCHrT,6436051.0,1
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd,14Qhte1BxSFLCm7KyGivNtRNCoBbqmWv6g22weqHqr7zxH9Y,6250023.744999985,1
13SMSvFXzP6QUBk95bapYszYXQiTSRYKEd1rTz2pRbwhUnV3,AGG_Small_Holders_<100,5967759.235493824,1253
12BFQrjL4DRsgMBNajEiwtAeKnnneXr8wUKi31DVjSXnQm56,12k6zoi7L6Jd2oCVek7Zktj8CHY2yoY6nxZThDZK7mdWP6Sr,5945066.816288236,1
15Pd5Pn2FCe6CrJjUWmvGVqqMDZN7ZN2DWU5VaUXBcMAisAK,15vAqwsm23DaXXanw9Zqm9HT7ywBQxFyiFCGGBsTF4Gfr9dL,5862052.4552,1
14ni4zwjUrdFKfQp2j5mwrjcQmr8moCzWBJFAyJqbn2TUf18,12imiRFgMGpPPVRiXLhQixuk1jMeTrQbzSJcZ4Bj7a3idmWT,5846819.694724337,1
